# 实时计算弹簧避障航线 (由前端地图驱动)
# Format: time, nodeId, x, y, z
126.616,12,-9.000,1.011,0.030
126.629,9,10.000,0.138,0.020
126.722,10,-9.000,0.982,0.040
126.748,4,-9.000,0.051,0.010
126.944,0,-9.000,0.010,0.010
127.090,5,-9.000,0.073,0.030
127.109,8,-9.000,0.097,0.020
127.186,1,-9.000,0.028,-0.000
127.280,6,-9.000,0.096,0.020
127.324,14,-9.000,1.048,0.030
127.547,13,-9.000,1.072,0.050
127.605,7,-9.000,0.098,0.030
127.954,11,-9.000,1.016,0.040
128.036,2,-9.000,0.074,0.030
128.116,12,-9.000,1.013,0.030
128.129,9,10.000,0.138,0.030
128.222,10,-9.000,0.987,0.020
128.248,4,-9.000,0.051,0.020
128.444,0,-9.000,0.010,0.000
128.590,5,-9.000,0.073,0.030
128.609,8,-9.000,0.097,0.020
128.686,1,-9.000,0.028,-0.010
128.780,6,-9.000,0.096,0.030
128.824,14,-9.000,1.048,0.040
129.047,13,-9.000,1.072,0.040
129.105,7,-9.000,0.098,0.030
129.454,11,-9.000,1.016,0.030
129.536,2,-9.000,0.074,0.020
129.616,12,-9.000,1.015,0.030
129.629,9,10.000,0.138,0.030
129.722,10,-9.000,0.990,0.030
129.748,4,-9.000,0.051,0.020
129.944,0,-9.000,0.009,0.010
130.090,5,-9.000,0.073,0.030
130.109,8,-9.000,0.097,0.020
130.186,1,-9.000,0.028,-0.000
130.281,6,-9.000,0.096,0.020
130.324,14,-9.000,1.048,0.040
130.547,13,-9.000,1.072,0.040
130.605,7,-9.000,0.098,0.020
130.954,11,-9.000,1.016,0.030
131.036,2,-9.000,0.074,0.020
131.116,12,-9.000,1.016,0.030
131.129,9,10.000,0.138,0.020
131.222,10,-9.000,0.993,0.030
131.248,4,-9.000,0.051,0.010
131.444,0,-9.000,0.009,0.010
131.590,5,-9.000,0.073,0.020
131.609,8,-9.000,0.097,0.010
131.686,1,-9.000,0.028,-0.000
131.781,6,-9.000,0.096,0.020
131.824,14,-9.000,1.048,0.040
132.047,13,-9.000,1.072,0.050
132.105,7,-9.000,0.098,0.020
132.454,11,-9.000,1.016,0.030
132.536,2,-9.000,0.074,0.030
132.616,12,-9.000,1.017,0.030
132.629,9,10.000,0.138,0.020
132.722,10,-9.000,0.994,0.040
132.748,4,-9.000,0.051,0.020
132.944,0,-9.000,0.009,0.020
133.090,5,-9.000,0.073,0.030
133.109,8,-9.000,0.097,0.010
133.186,1,-9.000,0.028,0.010
133.281,6,-9.000,0.096,0.020
133.324,14,-9.000,1.048,0.040
133.547,13,-9.000,1.072,0.060
133.605,7,-9.000,0.098,0.030
133.954,11,-9.000,1.016,0.040
134.035,2,-9.000,0.074,0.030
134.116,12,-9.000,1.017,0.030
134.129,9,10.000,0.138,0.020
134.222,10,-9.000,0.995,0.040
134.248,4,-9.000,0.052,0.020
134.444,0,-9.000,0.009,0.020
134.590,5,-9.000,0.073,0.030
134.609,8,-9.000,0.097,0.030
134.686,1,-9.000,0.028,0.010
134.781,6,-9.000,0.096,0.040
134.824,14,-9.000,1.049,0.050
135.047,13,-9.000,1.072,0.070
135.105,7,-9.000,0.098,0.030
135.454,11,-9.000,1.016,0.050
135.535,2,-9.000,0.074,0.030
135.616,12,-9.000,1.017,0.040
135.629,9,10.000,0.138,0.030
135.722,10,-9.000,0.996,0.030
135.748,4,-9.000,0.052,0.030
135.944,0,-9.000,0.010,0.030
136.090,5,-9.000,0.073,0.040
136.109,8,-9.000,0.097,0.040
136.186,1,-9.000,0.028,0.010
136.281,6,-9.000,0.096,0.050
136.324,14,-9.000,1.049,0.040
136.547,13,-9.000,1.073,0.060
136.605,7,-9.000,0.098,0.050
136.954,11,-9.000,1.016,0.050
137.035,2,-9.000,0.074,0.030
137.116,12,-9.000,1.017,0.040
137.129,9,10.000,0.138,0.040
137.222,10,-9.000,0.996,0.030
137.248,4,-9.000,0.052,0.030
137.444,0,-9.000,0.010,0.020
137.590,5,-9.000,0.073,0.040
137.609,8,-9.000,0.097,0.030
137.686,1,-9.000,0.028,0.010
137.781,6,-9.000,0.096,0.030
137.824,14,-9.000,1.049,0.050
138.047,13,-9.000,1.073,0.050
138.105,7,-9.000,0.098,0.040
138.454,11,-9.000,1.016,0.040
138.535,2,-9.000,0.074,0.030
138.616,12,-9.000,1.017,0.040
138.629,9,10.000,0.138,0.040
138.722,10,-9.000,0.996,0.030
138.748,4,-9.000,0.052,0.030
138.944,0,-9.000,0.010,0.010
139.090,5,-9.000,0.073,0.030
139.109,8,-9.000,0.097,0.010
139.186,1,-9.000,0.028,0.010
139.281,6,-9.000,0.096,0.020
139.324,14,-9.000,1.049,0.050
139.547,13,-9.000,1.073,0.050
139.605,7,-9.000,0.098,0.030
139.954,11,-9.000,1.016,0.030
140.035,2,-9.000,0.074,0.020
140.116,12,-9.000,1.017,0.030
140.129,9,10.000,0.137,0.020
140.222,10,-9.000,0.996,0.030
140.248,4,-9.000,0.052,0.030
140.444,0,-9.000,0.010,0.020
140.590,5,-9.000,0.073,0.030
140.609,8,-9.000,0.097,0.020
140.686,1,-9.000,0.028,0.010
140.781,6,-9.000,0.096,0.020
140.824,14,-9.000,1.049,0.040
141.047,13,-9.000,1.073,0.050
141.105,7,-9.000,0.098,0.030
141.454,11,-9.000,1.016,0.040
141.535,2,-9.000,0.074,0.030
141.616,12,-9.000,1.017,0.030
141.629,9,10.000,0.137,0.030
141.722,10,-9.000,0.996,0.040
141.748,4,-9.000,0.052,0.030
141.944,0,-9.000,0.010,0.020
142.090,5,-9.000,0.073,0.030
142.109,8,-9.000,0.097,0.020
142.186,1,-9.000,0.028,0.010
142.281,6,-9.000,0.096,0.030
142.324,14,-9.000,1.049,0.040
142.547,13,-9.000,1.073,0.060
142.605,7,-9.000,0.098,0.030
142.954,11,-9.000,1.016,0.030
143.035,2,-9.000,0.074,0.010
143.116,12,-9.000,1.017,0.030
143.129,9,10.000,0.137,0.030
143.222,10,-9.000,0.996,0.030
143.248,4,-9.000,0.052,0.020
143.334,11,-9.000,1.017,0.030
143.444,0,-9.000,0.010,0.010
143.590,5,-9.000,0.073,0.030
143.609,8,-9.000,0.097,0.020
143.686,1,-9.000,0.028,0.010
143.781,6,-9.000,0.096,0.020
143.824,14,-9.000,1.049,0.040
144.047,13,-9.000,1.073,0.050
144.105,7,-9.000,0.098,0.030
144.535,2,-9.000,0.074,0.010
144.616,12,-9.000,1.017,0.030
144.629,9,10.000,0.137,0.030
144.722,10,-9.000,0.995,0.030
144.748,4,-9.000,0.052,0.020
144.834,11,-9.000,1.017,0.030
144.944,0,-9.000,0.010,0.000
145.090,5,-9.000,0.073,0.030
145.109,8,-9.000,0.097,0.020
145.186,1,-9.000,0.028,-0.020
145.281,6,-9.000,0.095,0.010
145.324,14,-9.000,1.049,0.040
145.547,13,-9.000,1.073,0.040
145.605,7,-9.000,0.097,0.030
146.035,2,-9.000,0.074,0.020
146.116,12,-9.000,1.017,0.020
146.129,9,10.000,0.136,0.020
146.222,10,-9.000,0.995,0.030
146.248,4,-9.000,0.052,0.010
146.334,11,-9.000,1.017,0.030
146.444,0,-9.000,0.010,0.010
146.590,5,-9.000,0.073,0.030
146.609,8,-9.000,0.097,0.020
146.686,1,-9.000,0.028,-0.010
146.781,6,-9.000,0.095,0.020
146.824,14,-9.000,1.049,0.030
147.047,13,-9.000,1.072,0.050
147.105,7,-9.000,0.097,0.030
147.390,10,-9.000,0.995,0.030
147.535,2,-9.000,0.074,0.030
147.616,12,-9.000,1.017,0.030
147.629,9,10.000,0.136,0.030
147.748,4,-9.000,0.052,0.010
147.834,11,-9.000,1.017,0.040
