# xMin xMax yMin yMax zMin zMax
# 地图自动生成. 沙盘尺寸: 2109.9x1693.8 米
338.26 351.83 366.06 374.85 0.0 24.5
369.05 379.56 303.43 310.96 0.0 7.0
317.33 329.55 302.43 310.24 0.0 21.0
283.79 306.45 324.7 345.64 0.0 42.0
305.73 314.0 321.99 331.26 0.0 14.0
300.21 310.9 353.85 361.9 0.0 42.0
300.77 311.18 338.85 346.03 0.0 38.5
382.96 392.42 350.89 356.75 0.0 38.5
383.41 393.89 336.0 343.21 0.0 17.5
427.68 435.58 366.32 374.44 0.0 24.5
661.35 673.15 351.13 371.97 0.0 10.5
233.88 304.13 994.01 1099.63 0.0 38.5
320.72 346.92 668.25 683.99 0.0 14.0
332.15 345.51 646.55 667.71 0.0 10.5
271.97 285.49 669.35 688.66 0.0 28.0
376.11 492.99 519.34 628.34 0.0 24.5
701.5 781.52 871.45 892.83 0.0 17.5
699.72 779.74 906.1 927.5 0.0 31.5
699.48 779.5 940.92 962.31 0.0 10.5
672.08 692.74 898.3 958.96 0.0 42.0
666.74 687.29 834.5 889.17 0.0 35.0
32.46 128.24 857.52 941.43 0.0 42.0
52.98 106.44 878.23 911.28 0.0 42.0
699.26 711.4 1189.55 1200.43 0.0 24.5
690.52 722.65 1176.89 1215.15 0.0 24.5
697.66 708.76 1130.69 1141.58 0.0 28.0
686.89 719.19 1120.39 1155.66 0.0 28.0
767.67 777.27 1085.51 1098.66 0.0 28.0
747.0 758.39 1086.17 1097.87 0.0 28.0
727.78 787.31 1077.57 1111.91 0.0 28.0
829.17 840.74 1040.52 1052.66 0.0 28.0
811.31 848.17 1030.67 1062.62 0.0 28.0
802.87 822.76 1429.34 1440.32 0.0 10.5
799.59 824.42 1450.41 1467.1 0.0 10.5
794.66 830.18 1412.77 1473.05 0.0 10.5
153.23 190.78 1335.25 1350.83 0.0 7.0
136.92 206.97 1317.15 1363.89 0.0 7.0
629.17 677.95 547.76 586.25 0.0 31.5
640.8 668.19 558.62 574.27 0.0 31.5
630.37 678.16 587.21 625.11 0.0 10.5
640.92 666.23 597.99 613.66 0.0 10.5
637.55 686.37 626.86 665.74 0.0 21.0
649.56 674.46 637.98 652.8 0.0 21.0
644.32 692.03 666.52 705.25 0.0 14.0
655.12 681.76 676.74 693.07 0.0 14.0
647.86 697.32 705.45 745.55 0.0 10.5
658.94 685.76 716.56 732.8 0.0 10.5
652.29 701.32 745.76 784.43 0.0 10.5
663.43 690.22 756.39 772.65 0.0 10.5
738.59 777.96 735.64 773.44 0.0 10.5
749.92 766.64 746.72 762.28 0.0 10.5
704.88 743.96 694.34 732.43 0.0 24.5
716.48 732.48 704.57 720.03 0.0 24.5
747.4 785.26 697.62 735.36 0.0 21.0
757.96 773.83 707.67 723.25 0.0 21.0
707.5 745.73 656.55 694.29 0.0 21.0
718.84 734.5 666.68 682.24 0.0 21.0
749.2 787.77 659.13 697.44 0.0 42.0
760.27 776.67 669.15 685.62 0.0 42.0
709.56 748.04 618.0 655.16 0.0 10.5
721.4 737.42 628.62 642.51 0.0 10.5
751.67 790.31 620.94 658.26 0.0 21.0
762.92 778.83 631.12 645.62 0.0 21.0
711.9 751.03 579.21 616.84 0.0 28.0
723.4 739.24 589.62 605.47 0.0 28.0
753.94 792.9 582.14 619.76 0.0 28.0
765.25 780.8 591.06 607.03 0.0 28.0
735.04 790.31 488.9 541.49 0.0 21.0
745.94 779.94 508.74 525.89 0.0 21.0
683.95 728.77 491.49 542.17 0.0 24.5
694.27 718.33 508.82 524.99 0.0 24.5
686.38 729.2 451.12 484.79 0.0 31.5
695.65 719.42 459.37 473.06 0.0 31.5
690.39 733.26 410.61 445.43 0.0 24.5
700.68 722.11 421.0 434.65 0.0 24.5
744.89 829.77 238.5 335.08 0.0 42.0
781.44 815.74 296.81 316.72 0.0 42.0
783.62 818.18 257.42 278.08 0.0 42.0
77.03 137.16 1408.83 1533.73 0.0 38.5
93.5 119.75 1464.27 1487.0 0.0 38.5
96.25 122.29 1423.18 1446.6 0.0 38.5
