# xMin xMax yMin yMax zMin zMax
# 地图自动生成. 沙盘尺寸: 876.4x1680.0 米
742.41 780.98 645.31 683.61 0.0 9.99
702.78 741.25 604.18 641.33 0.0 9.99
744.88 783.52 607.11 644.44 0.0 9.99
705.12 744.25 565.39 603.02 0.0 9.99
747.15 786.11 568.32 605.93 0.0 9.99
728.25 783.52 475.08 527.67 0.0 9.99
677.16 721.98 477.67 528.34 0.0 9.99
679.59 722.41 437.3 470.97 0.0 9.99
683.61 726.47 396.79 431.61 0.0 9.99
738.1 822.98 224.68 321.26 0.0 9.99
70.25 130.37 1395.01 1519.91 0.0 9.99
