time,num_nodes,num_links,avg_degree,network_density
132,15,22,2.93333,0.209524
132.2,15,23,3.06667,0.219048
132.4,15,23,3.06667,0.219048
132.6,15,23,3.06667,0.219048
132.8,15,23,3.06667,0.219048
133,15,23,3.06667,0.219048
133.2,15,24,3.2,0.228571
133.4,15,24,3.2,0.228571
133.6,15,24,3.2,0.228571
133.8,15,24,3.2,0.228571
134,15,24,3.2,0.228571
134.2,15,24,3.2,0.228571
134.4,15,24,3.2,0.228571
134.6,15,23,3.06667,0.219048
134.8,15,23,3.06667,0.219048
135,15,22,2.93333,0.209524
135.2,15,22,2.93333,0.209524
135.4,15,22,2.93333,0.209524
135.6,15,22,2.93333,0.209524
135.8,15,21,2.8,0.2
136,15,21,2.8,0.2
136.2,15,21,2.8,0.2
136.4,15,22,2.93333,0.209524
136.6,15,21,2.8,0.2
136.8,15,20,2.66667,0.190476
137,15,20,2.66667,0.190476
137.2,15,20,2.66667,0.190476
137.4,15,20,2.66667,0.190476
137.6,15,20,2.66667,0.190476
137.8,15,20,2.66667,0.190476
138,15,19,2.53333,0.180952
138.2,15,18,2.4,0.171429
138.4,15,18,2.4,0.171429
138.6,15,18,2.4,0.171429
138.8,15,18,2.4,0.171429
139,15,18,2.4,0.171429
139.2,15,19,2.53333,0.180952
139.4,15,20,2.66667,0.190476
139.6,15,21,2.8,0.2
139.8,15,22,2.93333,0.209524
140,15,22,2.93333,0.209524
140.2,15,20,2.66667,0.190476
140.4,15,21,2.8,0.2
140.6,15,21,2.8,0.2
140.8,15,21,2.8,0.2
141,15,21,2.8,0.2
141.2,15,23,3.06667,0.219048
141.4,15,23,3.06667,0.219048
141.6,15,24,3.2,0.228571
141.8,15,24,3.2,0.228571
142,15,24,3.2,0.228571
142.2,15,23,3.06667,0.219048
142.4,15,22,2.93333,0.209524
142.6,15,23,3.06667,0.219048
142.8,15,24,3.2,0.228571
143,15,24,3.2,0.228571
143.2,15,25,3.33333,0.238095
143.4,15,27,3.6,0.257143
143.6,15,27,3.6,0.257143
143.8,15,27,3.6,0.257143
144,15,27,3.6,0.257143
144.2,15,27,3.6,0.257143
144.4,15,26,3.46667,0.247619
144.6,15,26,3.46667,0.247619
144.8,15,26,3.46667,0.247619
145,15,26,3.46667,0.247619
145.2,15,26,3.46667,0.247619
145.4,15,26,3.46667,0.247619
145.6,15,24,3.2,0.228571
145.8,15,24,3.2,0.228571
146,15,25,3.33333,0.238095
146.2,15,25,3.33333,0.238095
146.4,15,24,3.2,0.228571
146.6,15,25,3.33333,0.238095
146.8,15,25,3.33333,0.238095
147,15,25,3.33333,0.238095
147.2,15,25,3.33333,0.238095
147.4,15,25,3.33333,0.238095
147.6,15,25,3.33333,0.238095
147.8,15,25,3.33333,0.238095
148,15,25,3.33333,0.238095
148.2,15,25,3.33333,0.238095
148.4,15,24,3.2,0.228571
148.6,15,24,3.2,0.228571
148.8,15,24,3.2,0.228571
149,15,25,3.33333,0.238095
149.2,15,25,3.33333,0.238095
149.4,15,25,3.33333,0.238095
149.6,15,25,3.33333,0.238095
149.8,15,26,3.46667,0.247619
150,15,26,3.46667,0.247619
150.2,15,25,3.33333,0.238095
150.4,15,25,3.33333,0.238095
150.6,15,25,3.33333,0.238095
150.8,15,25,3.33333,0.238095
151,15,25,3.33333,0.238095
151.2,15,23,3.06667,0.219048
151.4,15,23,3.06667,0.219048
151.6,15,23,3.06667,0.219048
151.8,15,23,3.06667,0.219048
152,15,23,3.06667,0.219048
152.2,15,23,3.06667,0.219048
152.4,15,23,3.06667,0.219048
152.6,15,23,3.06667,0.219048
152.8,15,23,3.06667,0.219048
153,15,23,3.06667,0.219048
153.2,15,24,3.2,0.228571
153.4,15,24,3.2,0.228571
153.6,15,24,3.2,0.228571
153.8,15,24,3.2,0.228571
154,15,25,3.33333,0.238095
154.2,15,25,3.33333,0.238095
154.4,15,26,3.46667,0.247619
154.6,15,26,3.46667,0.247619
154.8,15,26,3.46667,0.247619
155,15,26,3.46667,0.247619
155.2,15,26,3.46667,0.247619
155.4,15,26,3.46667,0.247619
155.6,15,25,3.33333,0.238095
155.8,15,26,3.46667,0.247619
156,15,26,3.46667,0.247619
156.2,15,24,3.2,0.228571
156.4,15,23,3.06667,0.219048
156.6,15,23,3.06667,0.219048
156.8,15,24,3.2,0.228571
157,15,24,3.2,0.228571
157.2,15,25,3.33333,0.238095
157.4,15,25,3.33333,0.238095
157.6,15,25,3.33333,0.238095
157.8,15,25,3.33333,0.238095
158,15,25,3.33333,0.238095
158.2,15,25,3.33333,0.238095
158.4,15,26,3.46667,0.247619
158.6,15,26,3.46667,0.247619
158.8,15,26,3.46667,0.247619
159,15,26,3.46667,0.247619
159.2,15,26,3.46667,0.247619
159.4,15,26,3.46667,0.247619
159.6,15,25,3.33333,0.238095
159.8,15,25,3.33333,0.238095
160,15,26,3.46667,0.247619
160.2,15,25,3.33333,0.238095
160.4,15,25,3.33333,0.238095
160.6,15,25,3.33333,0.238095
160.8,15,25,3.33333,0.238095
161,15,26,3.46667,0.247619
161.2,15,26,3.46667,0.247619
161.4,15,26,3.46667,0.247619
161.6,15,25,3.33333,0.238095
161.8,15,25,3.33333,0.238095
162,15,25,3.33333,0.238095
162.2,15,24,3.2,0.228571
162.4,15,25,3.33333,0.238095
