time,communication_mode,recovery_policy,effective_recovery_policy,action_type,executor_node_id,target_node_ids,result_state,decision_reason,scene_type,operation_mode
150.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
151.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
151.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
152.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
152.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
153.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
153.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
154.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
154.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
155.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
155.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
156.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
156.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
157.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
157.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
158.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
