time_s,nodeId,x,y,z
26,11,1.091,1.565,1.19
26,12,2.722,0.377,2.3
26,13,2.43,0.61,-6.19
26,14,3.981,1.043,0.02
27,0,0.00801,0.000403333,0.0196333
27,1,1.00764,0.011,0.02
27,2,1.99162,0.0738654,0.0162413
27,3,2.988,0.067,0.03
27,4,4.026,0.0459543,0.241167
27,5,5.045,0.067,0.05
27,6,5.994,0.1,0.29
27,7,6.615,0.466,-1.21
27,8,7.714,-0.155,-3.02
27,9,1.064,6.082,-6.46
27,10,1.046,-0.366,-0.35
27,11,1.091,1.565,1.19
27,12,2.722,0.377,2.3
27,13,2.43,0.61,-6.19
27,14,3.981,1.043,0.02
28,0,0.00366,0.00326333,0.0170333
28,1,1.01064,0.011,0.02
28,2,1.99462,0.0775308,0.0195735
28,3,2.988,0.067,0.03
28,4,4.0233,0.044,0.285039
28,5,5.045,0.067,0.05
28,6,5.994,0.1,0.29
28,7,6.615,0.466,-1.21
28,8,7.714,-0.155,-3.02
28,9,1.064,6.082,-6.46
28,10,1.046,-0.366,-0.35
28,11,1.091,1.565,1.19
28,12,2.722,0.377,2.3
28,13,2.43,0.61,-6.19
28,14,3.981,1.043,0.02
29,0,-0.00234,0.00693,0.0137
29,1,1.01364,0.011,0.02
29,2,1.995,0.078,0.02
29,3,2.988,0.067,0.03
29,4,4.01753,0.044,0.188761
29,5,5.045,0.067,0.05
29,6,5.994,0.1,0.29
29,7,6.615,0.466,-1.21
29,8,7.714,-0.155,-3.02
29,9,1.064,6.082,-6.46
29,10,1.046,-0.366,-0.35
29,11,1.091,1.565,1.19
29,12,2.722,0.377,2.3
29,13,2.43,0.61,-6.19
29,14,3.981,1.043,0.02
30,0,-0.00834,0.0105967,0.0103667
30,1,1.01664,0.011,0.02
30,2,1.995,0.074612,0.01692
30,3,2.988,0.067,0.03
30,4,4.017,0.047333,0.14667
30,5,5.045,0.067,0.05
30,6,5.994,0.1,0.29
30,7,6.615,0.466,-1.21
30,8,7.714,-0.155,-3.02
30,9,1.064,6.082,-6.46
30,10,1.046,-0.366,-0.35
30,11,1.091,1.565,1.19
30,12,2.722,0.377,2.3
30,13,2.43,0.61,-6.19
30,14,3.981,1.043,0.02
31,0,-0.009,0.00773667,0.0159333
31,1,1.01964,0.011,0.02
31,2,1.995,0.0709453,0.0135867
31,3,2.988,0.067,0.03
31,4,4.017,0.0509997,0.110003
31,5,5.045,0.067,0.05
31,6,5.994,0.1,0.29
31,7,6.615,0.466,-1.21
31,8,7.714,-0.155,-3.02
31,9,1.064,6.082,-6.46
31,10,1.046,-0.366,-0.35
31,11,1.091,1.565,1.19
31,12,2.722,0.377,2.3
31,13,2.43,0.61,-6.19
31,14,3.981,1.043,0.02
32,0,-0.009,0.00407,0.0226
32,1,1.01736,0.0142267,0.0170667
32,2,1.995,0.0672787,0.0102533
32,3,2.988,0.067,0.03
32,4,4.017,0.0546663,0.0733367
32,5,5.045,0.067,0.05
32,6,5.994,0.1,0.29
32,7,6.615,0.466,-1.21
32,8,7.714,-0.155,-3.02
32,9,1.064,6.082,-6.46
32,10,1.046,-0.366,-0.35
32,11,1.091,1.565,1.19
32,12,2.722,0.377,2.3
32,13,2.43,0.61,-6.19
32,14,3.981,1.043,0.02
33,0,-0.009,0.000403333,0.0292667
33,1,1.01436,0.0178933,0.0137333
33,2,1.99223,0.067,0.01616
33,3,2.988,0.067,0.03
33,4,4.017,0.055,0.0790809
33,5,5.045,0.067,0.05
33,6,5.994,0.1,0.29
33,7,6.615,0.466,-1.21
33,8,7.714,-0.155,-3.02
33,9,1.064,6.082,-6.46
33,10,1.046,-0.366,-0.35
33,11,1.091,1.565,1.19
33,12,2.722,0.377,2.3
33,13,2.43,0.61,-6.19
33,14,3.981,1.043,0.02
34,0,-0.00633,0.00326333,0.0270333
34,1,1.01136,0.02156,0.0104
34,2,1.98923,0.067,0.0228267
34,3,2.988,0.067,0.03
34,4,4.017,0.0516729,0.0769753
34,5,5.045,0.067,0.05
34,6,5.994,0.1,0.29
34,7,6.615,0.466,-1.21
34,8,7.714,-0.155,-3.02
34,9,1.064,6.082,-6.46
34,10,1.046,-0.366,-0.35
34,11,1.091,1.565,1.19
34,12,2.722,0.377,2.3
34,13,2.43,0.61,-6.19
34,14,3.981,1.043,0.02
35,0,-0.00333,0.00693,0.0237
35,1,1.01364,0.022,0.01
35,2,1.98623,0.067,0.0294933
35,3,2.988,0.067,0.03
35,4,4.017,0.0480087,0.0736442
35,5,5.04676,0.0691509,0.0382679
35,6,5.994,0.1,0.29
35,7,6.62022,0.459246,-1.25912
35,8,7.714,-0.155,-3.02
35,9,1.06473,6.0811,-6.44938
35,10,1.046,-0.366,-0.35
35,11,1.091,1.565,1.19
35,12,2.722,0.377,2.3
35,13,2.43,0.61,-6.19
35,14,3.981,1.043,0.02
36,0,-0.00033,0.0105967,0.0203667
36,1,1.01664,0.022,0.01
36,2,1.986,0.070388,0.02384
36,3,2.988,0.067,0.03
36,4,4.017,0.0443444,0.0703131
36,5,5.05022,0.0733849,0.0151732
36,6,5.994,0.1,0.29
36,7,6.62589,0.451913,-1.31245
36,8,7.71484,-0.157154,-3.01813
36,9,1.06774,6.07743,-6.40605
36,10,1.046,-0.366,-0.35
36,11,1.091,1.565,1.19
36,12,2.722,0.377,2.3
36,13,2.43,0.61,-6.19
36,14,3.981,1.043,0.02
37,0,-0.00267,0.00773667,0.0170333
37,1,1.01965,0.022,0.01
37,2,1.986,0.0740547,0.0171733
37,3,2.988,0.067,0.03
37,4,4.02079,0.044,0.07
37,5,5.05369,0.0776189,-0.00792148
37,6,5.994,0.1,0.29
37,7,6.63155,0.444579,-1.36579
37,8,7.71784,-0.164821,-3.01146
37,9,1.07074,6.07377,-6.36272
37,10,1.046,-0.366,-0.35
37,11,1.091,1.565,1.19
37,12,2.722,0.377,2.3
37,13,2.43,0.61,-6.19
37,14,3.981,1.043,0.02
38,0,-0.00567,0.00407,0.0137
38,1,1.02,0.0252318,0.012938
38,2,1.986,0.0777213,0.0105067
38,3,2.988,0.067,0.03
38,4,4.02496,0.044,0.07
38,5,5.05127,0.0746633,-0.01
38,6,5.994,0.1,0.29
38,7,6.632,0.444,-1.4526
38,8,7.72084,-0.172488,-3.00479
38,9,1.07227,6.0701,-6.32592
38,10,1.046,-0.366,-0.35
38,11,1.091,1.565,1.19
38,12,2.722,0.377,2.3
38,13,2.43,0.61,-6.19
38,14,3.981,1.043,0.02
39,0,-0.00867,0.000403333,0.0103667
39,1,1.02,0.0288961,0.0162692
39,2,1.98877,0.074612,0.01616
39,3,2.988,0.067,0.03
39,4,4.026,0.044,0.0674933
39,5,5.04827,0.0709967,-0.01
39,6,5.994,0.1,0.29
39,7,6.632,0.444,-1.54229
39,8,7.72469,-0.181092,-3.01874
39,9,1.06926,6.06643,-6.30925
39,10,1.046,-0.366,-0.35
39,11,1.091,1.565,1.19
39,12,2.722,0.377,2.3
39,13,2.43,0.61,-6.19
39,14,3.981,1.043,0.02
40,0,-0.009,0.00326333,0.00703333
40,1,1.02,0.0325603,0.0196003
40,2,1.99177,0.0709453,0.0228267
40,3,2.988,0.067,0.03
40,4,4.026,0.044,0.06416
40,5,5.04527,0.06733,-0.01
40,6,5.994,0.1,0.29
40,7,6.632,0.444,-1.61817
40,8,7.73069,-0.192096,-3.08543
40,9,1.06626,6.06277,-6.29258
40,10,1.046,-0.366,-0.35
40,11,1.091,1.565,1.19
40,12,2.722,0.377,2.3
40,13,2.43,0.61,-6.19
40,14,3.981,1.043,0.02
41,0,-0.009,0.00693,0.0037
41,1,1.01736,0.0297733,0.0170667
41,2,1.99477,0.0672787,0.0294933
41,3,2.988,0.067,0.03
41,4,4.026,0.044,0.0608267
41,5,5.045,0.067,-0.00393333
41,6,5.994,0.1,0.29
41,7,6.632,0.444,-1.6515
41,8,7.73669,-0.203099,-3.15212
41,9,1.06547,6.0591,-6.30123
41,10,1.046,-0.366,-0.35
41,11,1.091,1.565,1.19
41,12,2.722,0.377,2.3
41,13,2.43,0.61,-6.19
41,14,3.981,1.043,0.02
42,0,-0.009,0.0105967,0.000366667
42,1,1.01436,0.0261067,0.0137333
42,2,1.995,0.070388,0.02384
42,3,2.988,0.067,0.03
42,4,4.02374,0.0467573,0.0549867
42,5,5.045,0.067,0.00273333
42,6,5.99335,0.0992007,0.28346
42,7,6.632,0.444,-1.68483
42,8,7.74185,-0.211,-3.19436
42,9,1.07147,6.05544,-6.3879
42,10,1.046,-0.366,-0.35
42,11,1.091,1.565,1.19
42,12,2.722,0.377,2.3
42,13,2.43,0.61,-6.19
42,14,3.981,1.043,0.02
43,0,-0.009,0.011,0.00296667
43,1,1.01136,0.02244,0.0104
43,2,1.995,0.0740547,0.0171733
43,3,2.988,0.067,0.03
43,4,4.02074,0.050424,0.04832
43,5,5.045,0.067,0.0094
43,6,5.99035,0.095534,0.25346
43,7,6.63053,0.446023,-1.72655
43,8,7.74485,-0.211,-3.17436
43,9,1.07747,6.05177,-6.47457
43,10,1.046,-0.366,-0.35
43,11,1.091,1.565,1.19
43,12,2.722,0.377,2.3
43,13,2.43,0.61,-6.19
43,14,3.981,1.043,0.02
44,0,-0.009,0.011,0.0063
44,1,1.011,0.0187733,0.0129333
44,2,1.995,0.0777213,0.0105067
44,3,2.988,0.067,0.03
44,4,4.01774,0.0540907,0.0416533
44,5,5.045,0.0703367,0.0130333
44,6,5.98735,0.0918673,0.22346
44,7,6.62452,0.454282,-1.79412
44,8,7.74785,-0.211,-3.15436
44,9,1.08127,6.049,-6.53429
44,10,1.046,-0.366,-0.35
44,11,1.091,1.565,1.19
44,12,2.722,0.377,2.3
44,13,2.43,0.61,-6.19
44,14,3.981,1.043,0.02
45,0,-0.009,0.011,0.00963333
45,1,1.011,0.0151067,0.0162667
45,2,1.99223,0.078,0.01616
45,3,2.988,0.067,0.03
