time_s,nodeId,x,y,z
33,2,1.986,0,0
33,3,2.979,0.044,0
33,4,3.9819,0.0681,-0.091
33,5,4.98232,0.1,0.155443
33,6,5.967,0.133,-0.56504
33,7,4.105,0.488,2.23
33,8,7.971,0.133,0.03
33,9,5.551,1.809,-0.98
33,10,0.763,1.276,1.12
33,11,-4.504,3.718,-0.02
33,12,1.525,1.654,0.74
33,13,-2.279,1.376,-0.52
33,14,3.44,3.085,1.38
34,0,0,-0.011,-0.03667
34,1,0.969354,0,-0.0325467
34,2,1.986,0,0
34,3,2.979,0.044,0
34,4,3.9789,0.067,-0.0253302
34,5,4.98532,0.1,0.0348533
34,6,5.967,0.133,-0.251707
34,7,4.105,0.488,2.23
34,8,7.971,0.133,0.03
34,9,5.551,1.809,-0.98
34,10,0.763,1.276,1.12
34,11,-4.504,3.718,-0.02
34,12,1.525,1.654,0.74
34,13,-2.279,1.376,-0.52
34,14,3.44,3.085,1.38
35,0,0,-0.011,-0.0333367
35,1,0.972354,0,-0.02588
35,2,1.986,0,-0.00035
35,3,2.979,0.044,0
35,4,3.9759,0.067,-0.0186591
35,5,4.98832,0.1,0.0281867
35,6,5.967,0.134657,-0.0739733
35,7,4.105,0.488,2.23
35,8,7.971,0.133,0.03
35,9,5.551,1.809,-0.98
35,10,0.763,1.276,1.12
35,11,-4.504,3.718,-0.02
35,12,1.525,1.654,0.74
35,13,-2.279,1.376,-0.52
35,14,3.44,3.085,1.38
36,0,0,-0.011,-0.0300033
36,1,0.975,0.000432667,-0.02
36,2,1.986,0,-0.00368333
36,3,2.979,0.044,0
36,4,3.97289,0.067,-0.011988
36,5,4.99132,0.1,0.02152
36,6,5.967,0.138324,-0.06064
36,7,4.105,0.488,2.23
36,8,7.971,0.133,0.03
36,9,5.551,1.809,-0.98
36,10,0.763,1.276,1.12
36,11,-4.504,3.718,-0.02
36,12,1.525,1.654,0.74
36,13,-2.279,1.376,-0.52
36,14,3.44,3.085,1.38
37,0,0,-0.011,-0.03
37,1,0.975,0.00409933,-0.02
37,2,1.986,0,-0.00701667
37,3,2.979,0.044,0
37,4,3.9741,0.067,-0.0123384
37,5,4.98968,0.1,0.0174267
37,6,5.967,0.141991,-0.0473067
37,7,4.10366,0.488422,2.22808
37,8,7.971,0.133,0.03
37,9,5.551,1.809,-0.98
37,10,0.763,1.276,1.12
37,11,-4.504,3.718,-0.02
37,12,1.525,1.654,0.74
37,13,-2.279,1.376,-0.52
37,14,3.44,3.085,1.38
38,0,0,-0.011,-0.03
38,1,0.975,0.007766,-0.02
38,2,1.986,0,-0.01
38,3,2.979,0.044,0
38,4,3.9771,0.067,-0.0156696
38,5,4.98668,0.1,0.0140933
38,6,5.967,0.142343,-0.0384933
38,7,4.09199,0.492088,2.21142
38,8,7.971,0.133,0.03
38,9,5.551,1.809,-0.98
38,10,0.763,1.276,1.12
38,11,-4.504,3.718,-0.02
38,12,1.525,1.654,0.74
38,13,-2.279,1.376,-0.52
38,14,3.44,3.085,1.38
39,0,0,-0.011,-0.03
39,1,0.974331,0.0105673,-0.0203933
39,2,1.986,0,-0.01
39,3,2.9803,0.044,0.00144333
39,4,3.9801,0.067,-0.0190007
39,5,4.98368,0.1,0.01076
39,6,5.967,0.138676,-0.03516
39,7,4.08033,0.495755,2.19475
39,8,7.971,0.133,0.03
39,9,5.551,1.809,-0.98
39,10,0.763,1.276,1.12
39,11,-4.504,3.718,-0.02
39,12,1.525,1.654,0.74
39,13,-2.279,1.376,-0.52
39,14,3.44,3.085,1.38
40,0,0,-0.011,-0.03
40,1,0.968665,0.00690067,-0.0237267
40,2,1.986,0,-0.01
