time_s,nodeId,eventType
10.034,1,Rx Data
10.034,1,Tx Ack
10.034,10,Rx Ack
10.037,10,Tx Data
10.038,1,Rx Data
10.042,10,Tx Data
10.042,1,Rx Data
10.042,1,Tx Ack
10.042,10,Rx Ack
10.046,10,Tx Data
10.046,1,Rx Data
10.050,10,Tx Data
10.050,1,Rx Data
10.050,1,Tx Ack
10.050,10,Tx Ack
10.050,10,Rx Ack
10.050,1,Rx Ack
10.050,1,Tx Ack
10.050,10,Rx Ack
10.050,10,Tx Ack
10.051,1,Rx Ack
10.410,3,Tx Ack
10.419,0,Rx Ack
10.419,0,Tx Ack
10.419,3,Rx Ack
10.423,0,Tx Data
10.423,3,Rx Data
10.423,3,Tx Ack
10.423,0,Rx Ack
10.427,0,Tx Data
10.427,3,Rx Data
10.431,0,Tx Data
10.431,3,Rx Data
10.431,3,Tx Ack
10.431,0,Rx Ack
10.435,0,Tx Data
10.435,3,Rx Data
10.439,0,Tx Data
10.439,3,Rx Data
10.439,3,Tx Ack
10.440,0,Rx Ack
10.443,0,Tx Data
10.443,3,Rx Data
10.447,0,Tx Data
10.448,3,Rx Data
10.448,3,Tx Ack
10.448,0,Rx Ack
10.450,0,Tx Ack
10.450,3,Rx Ack
10.450,3,Tx Ack
10.450,0,Rx Ack
10.450,0,Tx Ack
10.450,3,Rx Ack
10.607,7,Tx Ack
10.611,13,Rx Ack
10.611,13,Tx Ack
10.611,7,Rx Ack
10.615,13,Tx Data
10.615,7,Rx Data
10.615,7,Tx Ack
10.615,13,Rx Ack
10.619,13,Tx Data
10.619,7,Rx Data
10.623,13,Tx Data
10.623,7,Rx Data
10.623,7,Tx Ack
10.623,13,Rx Ack
10.627,13,Tx Data
10.627,7,Rx Data
10.631,13,Tx Data
10.631,7,Rx Data
10.631,7,Tx Ack
10.632,13,Rx Ack
10.635,13,Tx Data
10.636,7,Rx Data
10.639,13,Tx Data
10.640,7,Rx Data
10.640,7,Tx Ack
10.640,13,Rx Ack
10.643,13,Tx Data
10.644,7,Rx Data
10.648,13,Tx Data
10.648,7,Rx Data
10.648,7,Tx Ack
10.648,13,Rx Ack
10.650,13,Tx Ack
10.650,7,Rx Ack
10.650,7,Tx Ack
10.650,13,Rx Ack
10.650,13,Tx Ack
10.650,7,Rx Ack
10.802,8,Tx Ack
10.807,9,Rx Ack
10.807,9,Tx Ack
10.807,8,Rx Ack
10.811,9,Tx Data
10.811,8,Rx Data
10.811,8,Tx Ack
10.811,9,Rx Ack
10.815,9,Tx Data
10.815,8,Rx Data
10.819,9,Tx Data
10.819,8,Rx Data
10.819,8,Tx Ack
10.819,9,Rx Ack
10.823,9,Tx Data
10.823,8,Rx Data
10.827,9,Tx Data
10.828,8,Rx Data
10.828,8,Tx Ack
10.828,9,Rx Ack
10.831,9,Tx Data
10.832,8,Rx Data
10.836,9,Tx Data
10.836,8,Rx Data
10.836,8,Tx Ack
10.836,9,Rx Ack
10.840,9,Tx Data
10.840,8,Rx Data
10.844,9,Tx Data
10.844,8,Rx Data
10.844,8,Tx Ack
10.844,9,Rx Ack
10.848,9,Tx Data
10.848,8,Rx Data
10.850,9,Tx Ack
10.850,8,Rx Ack
10.850,8,Tx Ack
10.850,9,Rx Ack
10.850,9,Tx Ack
10.850,8,Rx Ack
12.407,14,Tx Ack
12.417,5,Rx Ack
12.417,5,Tx Ack
12.417,14,Rx Ack
12.421,5,Tx Data
12.421,14,Rx Data
12.421,14,Tx Ack
12.421,5,Rx Ack
12.425,5,Tx Data
12.425,14,Rx Data
