time_s,nodeId,x,y,z
36,1,0.949,0.055,6.28259
36,2,1.915,0.033,6.29
36,3,2.96824,0.0370407,6.35673
36,4,1.197,0.233,3.63
36,5,6.969,-0.677,17.66
36,6,5.799,0.499,10.58
36,7,6.952,0.033,6.37
36,8,7.954,0.078,9.91
36,9,-1.037,0.977,6.27738
36,10,-0.035,1.02745,6.36379
36,11,0.904,1.01095,6.28086
36,12,1.906,1.05304,6.29806
36,13,2.94174,1.01276,6.28248
36,14,-1.03971,0.0143073,6.30098
37,0,0.009,0.000542667,6.27
37,1,0.949,0.055892,6.28
37,2,1.915,0.033,6.29
37,3,2.96258,0.033374,6.3234
37,4,1.197,0.233,3.63
37,5,6.969,-0.677,17.66
37,6,5.799,0.499,10.58
37,7,6.952,0.033,6.37
37,8,7.954,0.078,9.91
37,9,-1.037,0.977,6.28
37,10,-0.035,1.02354,6.36616
37,11,0.904,1.01461,6.28419
37,12,1.906,1.04571,6.32139
37,13,2.94326,1.01,6.28917
37,14,-1.04271,0.017974,6.29098
38,0,0.009,0.00420933,6.27
38,1,0.949,0.059892,6.28
38,2,1.915,0.033,6.28757
38,3,2.962,0.0362927,6.31701
38,4,1.197,0.233,3.63
38,5,6.969,-0.677,17.66
38,6,5.799,0.499,10.58
38,7,6.952,0.033,6.37
38,8,7.954,0.078,9.91
38,9,-1.037,0.977,6.28
38,10,-0.035,1.01,6.35607
38,11,0.904,1.01828,6.28753
38,12,1.906,1.043,6.32369
38,13,2.94026,1.01,6.28584
38,14,-1.04571,0.0216407,6.28098
39,0,0.009,0.007876,6.27
39,1,0.949,0.063892,6.28
39,2,1.915,0.033,6.27757
39,3,2.962,0.0399593,6.31367
39,4,1.197,0.233,3.63
39,5,6.969,-0.677,17.66
39,6,5.799,0.499,10.58
39,7,6.952,0.033,6.37
39,8,7.954,0.078,9.91
39,9,-1.037,0.977,6.28
39,10,-0.035,1.01,6.34607
39,11,0.904,1.02005,6.28914
39,12,1.906,1.043,6.31369
39,13,2.93726,1.01,6.28251
39,14,-1.04089,0.0186927,6.27399
40,0,0.009,0.0104573,6.27049
40,1,0.949,0.067,6.28
40,2,1.915,0.033,6.26758
40,3,2.962,0.043626,6.31034
40,4,1.197,0.233,3.63
40,5,6.97369,-0.679864,17.6079
40,6,5.799,0.499,10.58
40,7,6.952,0.033,6.37
40,8,7.954,0.078,9.91
40,9,-1.037,0.977781,6.28
40,10,-0.035,1.01,6.33607
40,11,0.904,1.01639,6.28581
40,12,1.906,1.043,6.30369
40,13,2.935,1.01,6.28083
40,14,-1.03522,0.015026,6.26732
41,0,0.009,0.00679067,6.27383
41,1,0.949,0.067,6.28
41,2,1.915,0.0338873,6.26081
41,3,2.9644,0.0407051,6.31
41,4,1.197,0.233,3.63
41,5,6.97969,-0.68353,17.5413
41,6,5.799,0.499,10.58
41,7,6.952,0.033,6.37
41,8,7.954,0.078,9.91
41,9,-1.037,0.981448,6.28
41,10,-0.0339517,1.01,6.33262
41,11,0.904,1.01272,6.28247
41,12,1.90432,1.04531,6.3021
41,13,2.935,1.01,6.28416
41,14,-1.02956,0.0113593,6.26065
42,0,0.009,0.003124,6.27716
42,1,0.949,0.067,6.28
42,2,1.915,0.037554,6.26414
42,3,2.96706,0.037036,6.31
42,4,1.197,0.233,3.63
42,5,6.98569,-0.687197,17.4746
42,6,5.799,0.499,10.58
42,7,6.952,0.033,6.37
42,8,7.954,0.078,9.91
42,9,-1.037,0.985114,6.28
42,10,-0.0312841,1.01,6.33929
42,11,0.904774,1.01095,6.28172
42,12,1.90165,1.04898,6.30544
42,13,2.935,1.01,6.28749
42,14,-1.029,0.011,6.26301
43,0,0.009,0.000542667,6.27951
43,1,0.949,0.067,6.28
43,2,1.915,0.0412207,6.26747
43,3,2.96973,0.0333669,6.31
43,4,1.197,0.233,3.63
43,5,6.06201,-0.361692,17.4957
43,6,5.799,0.499,10.58
43,7,6.952,0.033,6.37
43,8,7.954,0.078,9.91
43,9,-1.037,0.988,6.27929
43,10,-0.0286165,1.01,6.34596
43,11,0.907774,1.01461,6.28839
43,12,1.89898,1.05265,6.30877
43,13,2.935,1.01,6.28917
43,14,-1.029,0.011,6.26634
44,0,0.009,0.00420933,6.27617
44,1,0.949,0.067,6.28
44,2,1.915,0.0431127,6.27
44,3,2.9676,0.033,6.304
44,4,1.197,0.233,3.63
44,5,4.91209,0.0441149,17.5385
44,6,5.799,0.499,10.58
44,7,6.952,0.033,6.37
44,8,7.954,0.078,9.91
44,9,-1.037,0.988,6.27596
44,10,-0.027,1.01,6.34737
44,11,0.910774,1.01828,6.29505
44,12,1.898,1.054,6.3079
44,13,2.935,1.01,6.28584
44,14,-1.029,0.011,6.26967
45,0,0.009,0.007876,6.27284
45,1,0.949,0.067,6.28
45,2,1.915,0.039446,6.27
45,3,2.96493,0.033,6.29733
45,4,1.197,0.233,3.63
45,5,4.91533,0.048076,17.4881
45,6,5.799,0.499,10.58
45,7,6.952,0.033,6.37
45,8,7.954,0.078,9.91
45,9,-1.037,0.988,6.27262
45,10,-0.027,1.01,6.34071
45,11,0.912226,1.021,6.29828
45,12,1.898,1.054,6.30456
45,13,2.935,1.01,6.28251
45,14,-1.029,0.0143073,6.27301
46,0,0.009,0.011,6.27
46,1,0.948331,0.067,6.27926
46,2,1.915,0.0357793,6.27
46,3,2.96227,0.033,6.29067
46,4,1.197,0.233,3.63
46,5,4.91858,0.0520371,17.4377
46,6,5.799,0.499,10.58
46,7,6.952,0.033,6.37
46,8,7.954,0.078,9.91
46,9,-1.03643,0.988,6.27
46,10,-0.027,1.01,6.33404
46,11,0.909226,1.021,6.29161
46,12,1.898,1.054,6.30123
46,13,2.93574,1.01091,6.28
46,14,-1.029,0.017974,6.27634
47,0,0.009,0.011,6.27
47,1,0.945331,0.067,6.27592
47,2,1.915,0.033,6.26919
47,3,2.962,0.033,6.29
47,4,1.197,0.233,3.63
47,5,4.91949,0.055,16.464
47,6,5.799,0.499,10.58
